case,resolution,n_verts_a_before,n_quads_a_before,free_a_before,tj_a_before,nm_a_before,dup_a_before,orphan_a_before,comp_a_before,sliv_q_a_before,sliv_t_a_before,nonplanar_q_a_before,inverted_q_a_before,aspect_p95_a_before,min_angle_p05_a_before,planarity_p95_a_before,mean_edge_a_before,edge_cv_a_before,n_verts_a_after,n_quads_a_after,free_a_after,tj_a_after,nm_a_after,dup_a_after,orphan_a_after,comp_a_after,sliv_q_a_after,sliv_t_a_after,nonplanar_q_a_after,inverted_q_a_after,aspect_p95_a_after,min_angle_p05_a_after,planarity_p95_a_after,mean_edge_a_after,edge_cv_a_after,coverage
tiny_panel,4.0,,,,,,,,,,,,,,,,,,2701,2600,200,0,0,0,0,1,0,0,8,0,1.01,90.0,0.0,4.041,0.04,after_only
tiny_panel,8.0,,,,,,,,,,,,,,,,,,700,650,98,0,0,0,0,1,0,0,6,0,1.01,90.0,0.0,8.086,0.044,after_only
triple_junction,2.0,,,,,,,,,,,,,,,,,,13431,13200,460,0,0,0,0,1,0,0,8,0,1.004,90.0,0.0,2.0,0.008,after_only
triple_junction,4.0,,,,,,,,,,,,,,,,,,3481,3366,228,0,0,0,0,1,2,0,8,1,1.033,90.0,0.0,3.963,0.03,after_only
triple_junction,8.0,,,,,,,,,,,,,,,,,,915,858,112,0,0,0,0,1,2,0,8,1,1.074,90.0,0.0,7.867,0.059,after_only
u_shape,2.0,11304.0,11076.0,446.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.007,90.0,0.0,1.99,0.013,11300,11076,446,0,0,0,0,1,0,0,16,0,1.007,90.0,0.0,1.99,0.013,both
u_shape,4.0,2923.0,2808.0,220.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.021,90.0,0.0,3.956,0.027,2919,2808,220,0,0,0,0,1,0,0,16,0,1.021,90.0,0.0,3.956,0.027,both
u_shape,8.0,760.0,702.0,106.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.021,90.0,0.0,7.934,0.05,756,702,106,0,0,0,0,1,0,0,16,0,1.021,90.0,0.0,7.934,0.05,both
wide_t,2.0,11436.0,11159.0,652.0,34.0,0.0,2.0,2.0,1.0,2592.0,0.0,4.0,0.0,32.2,90.0,0.0,1.755,0.334,8734,8514,438,0,0,0,0,1,0,0,4,0,1.016,90.0,0.0,1.993,0.013,both
wide_t,4.0,2991.0,2850.0,330.0,25.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,3.256,90.0,0.0,3.475,0.253,2286,2175,220,0,0,0,0,1,0,0,4,0,1.035,90.0,0.0,3.945,0.026,both
wide_t,8.0,802.0,730.0,166.0,12.0,0.0,2.0,2.0,1.0,48.0,0.0,4.0,0.0,5.306,90.0,0.0,6.872,0.279,618,562,110,0,0,0,0,1,0,0,4,0,1.061,90.0,0.0,7.776,0.049,both
zigzag_4,2.0,10846.0,10602.0,474.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,24.0,0.0,1.0,90.0,0.0,2.001,0.016,10840,10602,474,0,0,0,0,1,0,0,24,0,1.0,90.0,0.0,2.001,0.016,both
zigzag_4,4.0,2850.0,2726.0,234.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,24.0,0.0,1.018,90.0,0.0,3.95,0.031,2844,2726,234,0,0,0,0,1,0,0,24,0,1.018,90.0,0.0,3.95,0.031,both
zigzag_4,8.0,784.0,720.0,114.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,24.0,0.0,1.031,90.0,0.0,7.718,0.061,778,720,114,0,0,0,0,1,0,0,24,0,1.031,90.0,0.0,7.718,0.061,both
zigzag_6,2.0,13769.0,13440.0,636.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,40.0,0.0,1.011,90.0,0.0,1.99,0.019,13561,13248,628,0,0,0,0,1,0,0,40,0,1.011,90.0,0.0,2.005,0.022,both
zigzag_6,4.0,3575.0,3408.0,312.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,40.0,0.0,1.032,90.0,0.0,3.958,0.037,3463,3312,304,0,0,0,0,1,0,0,40,0,1.011,90.0,0.0,4.016,0.038,both
zigzag_6,8.0,949.0,864.0,148.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,40.0,0.0,1.055,90.0,0.0,7.901,0.069,911,840,144,0,0,0,0,1,0,0,40,0,1.047,89.3,0.0,8.018,0.072,both
